class_desc,domain_desc,asd_desc,domaincat_desc,short_desc,watershed_desc,state_name,state_fips_code,Value,group_desc,unit_desc,prodn_practice_desc,state_ansi,freq_desc,load_time,county_ansi,statisticcat_desc,commodity_desc,agg_level_desc,end_code,county_name,zip_5,state_alpha,util_practice_desc,reference_period_desc,source_desc,location_desc,week_ending,year,country_code,county_code,CV (%),congr_district_code,region_desc,asd_code,begin_code,watershed_code,country_name,sector_desc
ALL CLASSES,TOTAL,,NOT SPECIFIED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",,US TOTAL,99,4.74,FIELD CROPS,$ / BU,ALL PRODUCTION PRACTICES,,MONTHLY,2024-02-29 15:00:00.000,,PRICE RECEIVED,CORN,NATIONAL,01,,,US,GRAIN,JAN,SURVEY,US TOTAL,,2024,9000,,,,,,01,00000000,UNITED STATES,CROPS
ALL CLASSES,TOTAL,,NOT SPECIFIED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",,US TOTAL,99,4.36,FIELD CROPS,$ / BU,ALL PRODUCTION PRACTICES,,MONTHLY,2024-03-28 15:00:00.000,,PRICE RECEIVED,CORN,NATIONAL,02,,,US,GRAIN,FEB,SURVEY,US TOTAL,,2024,9000,,,,,,02,00000000,UNITED STATES,CROPS
ALL CLASSES,TOTAL,,NOT SPECIFIED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",,US TOTAL,99,4.36,FIELD CROPS,$ / BU,ALL PRODUCTION PRACTICES,,MONTHLY,2024-04-30 15:00:00.000,,PRICE RECEIVED,CORN,NATIONAL,03,,,US,GRAIN,MAR,SURVEY,US TOTAL,,2024,9000,,,,,,03,00000000,UNITED STATES,CROPS
ALL CLASSES,TOTAL,,NOT SPECIFIED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",,US TOTAL,99,4.39,FIELD CROPS,$ / BU,ALL PRODUCTION PRACTICES,,MONTHLY,2024-05-31 15:00:00.000,,PRICE RECEIVED,CORN,NATIONAL,04,,,US,GRAIN,APR,SURVEY,US TOTAL,,2024,9000,,,,,,04,00000000,UNITED STATES,CROPS
ALL CLASSES,TOTAL,,NOT SPECIFIED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",,US TOTAL,99,4.51,FIELD CROPS,$ / BU,ALL PRODUCTION PRACTICES,,MONTHLY,2024-06-28 15:00:00.000,,PRICE RECEIVED,CORN,NATIONAL,05,,,US,GRAIN,MAY,SURVEY,US TOTAL,,2024,9000,,,,,,05,00000000,UNITED STATES,CROPS
ALL CLASSES,TOTAL,,NOT SPECIFIED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",,US TOTAL,99,4.8,FIELD CROPS,$ / BU,ALL PRODUCTION PRACTICES,,ANNUAL,2024-02-26 15:00:00.000,,PRICE RECEIVED,CORN,NATIONAL,00,,,US,GRAIN,MARKETING YEAR,SURVEY,US TOTAL,,2023,9000,,,,,,00,00000000,UNITED STATES,CROPS
ALL CLASSES,TOTAL,,NOT SPECIFIED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",,US TOTAL,99,5.95,FIELD CROPS,$ / BU,ALL PRODUCTION PRACTICES,,ANNUAL,2024-02-29 15:00:00.000,,PRICE RECEIVED,CORN,NATIONAL,00,,,US,GRAIN,YEAR,SURVEY,US TOTAL,,2023,9000,,,,,,00,00000000,UNITED STATES,CROPS
ALL CLASSES,TOTAL,,NOT SPECIFIED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",,US TOTAL,99,6.63,FIELD CROPS,$ / BU,ALL PRODUCTION PRACTICES,,MONTHLY,2023-09-29 15:00:00.000,,PRICE RECEIVED,CORN,NATIONAL,01,,,US,GRAIN,JAN,SURVEY,US TOTAL,,2023,9000,,,,,,01,00000000,UNITED STATES,CROPS
ALL CLASSES,TOTAL,,NOT SPECIFIED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",,US TOTAL,99,6.8,FIELD CROPS,$ / BU,ALL PRODUCTION PRACTICES,,MONTHLY,2023-09-29 15:00:00.000,,PRICE RECEIVED,CORN,NATIONAL,02,,,US,GRAIN,FEB,SURVEY,US TOTAL,,2023,9000,,,,,,02,00000000,UNITED STATES,CROPS
ALL CLASSES,TOTAL,,NOT SPECIFIED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",,US TOTAL,99,6.67,FIELD CROPS,$ / BU,ALL PRODUCTION PRACTICES,,MONTHLY,2023-09-29 15:00:00.000,,PRICE RECEIVED,CORN,NATIONAL,03,,,US,GRAIN,MAR,SURVEY,US TOTAL,,2023,9000,,,,,,03,00000000,UNITED STATES,CROPS
ALL CLASSES,TOTAL,,NOT SPECIFIED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",,US TOTAL,99,6.7,FIELD CROPS,$ / BU,ALL PRODUCTION PRACTICES,,MONTHLY,2023-09-29 15:00:00.000,,PRICE RECEIVED,CORN,NATIONAL,04,,,US,GRAIN,APR,SURVEY,US TOTAL,,2023,9000,,,,,,04,00000000,UNITED STATES,CROPS
ALL CLASSES,TOTAL,,NOT SPECIFIED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",,US TOTAL,99,6.54,FIELD CROPS,$ / BU,ALL PRODUCTION PRACTICES,,MONTHLY,2023-09-29 15:00:00.000,,PRICE RECEIVED,CORN,NATIONAL,05,,,US,GRAIN,MAY,SURVEY,US TOTAL,,2023,9000,,,,,,05,00000000,UNITED STATES,CROPS
ALL CLASSES,TOTAL,,NOT SPECIFIED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",,US TOTAL,99,6.49,FIELD CROPS,$ / BU,ALL PRODUCTION PRACTICES,,MONTHLY,2023-09-29 15:00:00.000,,PRICE RECEIVED,CORN,NATIONAL,06,,,US,GRAIN,JUN,SURVEY,US TOTAL,,2023,9000,,,,,,06,00000000,UNITED STATES,CROPS
ALL CLASSES,TOTAL,,NOT SPECIFIED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",,US TOTAL,99,6.22,FIELD CROPS,$ / BU,ALL PRODUCTION PRACTICES,,MONTHLY,2023-09-29 15:00:00.000,,PRICE RECEIVED,CORN,NATIONAL,07,,,US,GRAIN,JUL,SURVEY,US TOTAL,,2023,9000,,,,,,07,00000000,UNITED STATES,CROPS
ALL CLASSES,TOTAL,,NOT SPECIFIED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",,US TOTAL,99,5.73,FIELD CROPS,$ / BU,ALL PRODUCTION PRACTICES,,MONTHLY,2023-09-29 15:00:00.000,,PRICE RECEIVED,CORN,NATIONAL,08,,,US,GRAIN,AUG,SURVEY,US TOTAL,,2023,9000,,,,,,08,00000000,UNITED STATES,CROPS
ALL CLASSES,TOTAL,,NOT SPECIFIED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",,US TOTAL,99,5.21,FIELD CROPS,$ / BU,ALL PRODUCTION PRACTICES,,MONTHLY,2023-10-31 15:00:00.000,,PRICE RECEIVED,CORN,NATIONAL,09,,,US,GRAIN,SEP,SURVEY,US TOTAL,,2023,9000,,,,,,09,00000000,UNITED STATES,CROPS
ALL CLASSES,TOTAL,,NOT SPECIFIED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",,US TOTAL,99,4.93,FIELD CROPS,$ / BU,ALL PRODUCTION PRACTICES,,MONTHLY,2023-11-30 15:00:00.000,,PRICE RECEIVED,CORN,NATIONAL,10,,,US,GRAIN,OCT,SURVEY,US TOTAL,,2023,9000,,,,,,10,00000000,UNITED STATES,CROPS
ALL CLASSES,TOTAL,,NOT SPECIFIED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",,US TOTAL,99,4.66,FIELD CROPS,$ / BU,ALL PRODUCTION PRACTICES,,MONTHLY,2023-12-29 15:00:00.000,,PRICE RECEIVED,CORN,NATIONAL,11,,,US,GRAIN,NOV,SURVEY,US TOTAL,,2023,9000,,,,,,11,00000000,UNITED STATES,CROPS
ALL CLASSES,TOTAL,,NOT SPECIFIED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",,US TOTAL,99,4.8,FIELD CROPS,$ / BU,ALL PRODUCTION PRACTICES,,MONTHLY,2024-01-31 15:00:00.000,,PRICE RECEIVED,CORN,NATIONAL,12,,,US,GRAIN,DEC,SURVEY,US TOTAL,,2023,9000,,,,,,12,00000000,UNITED STATES,CROPS
ALL CLASSES,TOTAL,,NOT SPECIFIED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",,US TOTAL,99,6.54,FIELD CROPS,$ / BU,ALL PRODUCTION PRACTICES,,ANNUAL,2024-02-16 15:00:00.000,,PRICE RECEIVED,CORN,NATIONAL,00,,,US,GRAIN,MARKETING YEAR,SURVEY,US TOTAL,,2022,9000,,,,,,00,00000000,UNITED STATES,CROPS
ALL CLASSES,TOTAL,,NOT SPECIFIED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",,US TOTAL,99,6.76,FIELD CROPS,$ / BU,ALL PRODUCTION PRACTICES,,ANNUAL,2024-02-29 15:00:00.000,,PRICE RECEIVED,CORN,NATIONAL,00,,,US,GRAIN,YEAR,SURVEY,US TOTAL,,2022,9000,,,,,,00,00000000,UNITED STATES,CROPS
ALL CLASSES,TOTAL,,NOT SPECIFIED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",,US TOTAL,99,5.58,FIELD CROPS,$ / BU,ALL PRODUCTION PRACTICES,,MONTHLY,2022-09-30 15:00:00.000,,PRICE RECEIVED,CORN,NATIONAL,01,,,US,GRAIN,JAN,SURVEY,US TOTAL,,2022,9000,,,,,,01,00000000,UNITED STATES,CROPS
ALL CLASSES,TOTAL,,NOT SPECIFIED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",,US TOTAL,99,6.09,FIELD CROPS,$ / BU,ALL PRODUCTION PRACTICES,,MONTHLY,2022-09-30 15:00:00.000,,PRICE RECEIVED,CORN,NATIONAL,02,,,US,GRAIN,FEB,SURVEY,US TOTAL,,2022,9000,,,,,,02,00000000,UNITED STATES,CROPS
ALL CLASSES,TOTAL,,NOT SPECIFIED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",,US TOTAL,99,6.56,FIELD CROPS,$ / BU,ALL PRODUCTION PRACTICES,,MONTHLY,2022-09-30 15:00:00.000,,PRICE RECEIVED,CORN,NATIONAL,03,,,US,GRAIN,MAR,SURVEY,US TOTAL,,2022,9000,,,,,,03,00000000,UNITED STATES,CROPS
ALL CLASSES,TOTAL,,NOT SPECIFIED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",,US TOTAL,99,7.07,FIELD CROPS,$ / BU,ALL PRODUCTION PRACTICES,,MONTHLY,2022-09-30 15:00:00.000,,PRICE RECEIVED,CORN,NATIONAL,04,,,US,GRAIN,APR,SURVEY,US TOTAL,,2022,9000,,,,,,04,00000000,UNITED STATES,CROPS
ALL CLASSES,TOTAL,,NOT SPECIFIED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",,US TOTAL,99,7.26,FIELD CROPS,$ / BU,ALL PRODUCTION PRACTICES,,MONTHLY,2022-09-30 15:00:00.000,,PRICE RECEIVED,CORN,NATIONAL,05,,,US,GRAIN,MAY,SURVEY,US TOTAL,,2022,9000,,,,,,05,00000000,UNITED STATES,CROPS
ALL CLASSES,TOTAL,,NOT SPECIFIED,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",,US TOTAL,99,7.38,FIELD CROPS,$ / BU,ALL PRODUCTION PRACTICES,,MONTHLY,2022-09-30 15:00:00.000,,PRICE RECEIVED,CORN,NATIONAL,06,,,US,GRAIN,JUN,SURVEY,US TOTAL,,2022,9000,,,,,,06,00000000,UNITED STATES,CROPS
